Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-07-25 23:56:31,2024-07-27 00:19:27,UTC+01:00,2024-07-25 23:56:31,2024-07-26 07:43:44,83,13.9,446,467,249,108,89,21,540,54,96,62,false
2024-07-25 00:22:10,2024-07-25 23:56:31,UTC+01:00,2024-07-25 00:22:10,2024-07-25 06:50:04,77,13.8,358,387,214,75,69,29,467,96,93,45,false
2024-07-24 00:46:15,2024-07-25 00:22:10,UTC+01:00,2024-07-24 16:33:32,2024-07-24 18:23:36,18,14.2,99,110,51,22,26,11,555,96,93,,true
2024-07-24 00:46:15,2024-07-25 00:22:10,UTC+01:00,2024-07-24 00:46:15,2024-07-24 06:32:20,63,14.6,323,343,180,72,71,20,516,18,95,70,false
2024-07-23 01:42:27,2024-07-24 00:46:15,UTC+01:00,2024-07-23 01:42:27,2024-07-23 09:28:41,92,14.5,444,466,201,105,138,22,481,0,95,64,false
2024-07-22 00:56:27,2024-07-23 01:42:27,UTC+01:00,2024-07-22 00:56:27,2024-07-22 08:06:10,100,13.4,406,428,109,103,194,22,355,0,95,43,false
2024-07-21 01:59:22,2024-07-22 00:56:27,UTC+01:00,2024-07-21 18:08:52,2024-07-21 19:57:58,22,18.4,99,109,71,11,17,10,454,0,98,,true
2024-07-21 01:59:22,2024-07-22 00:56:27,UTC+01:00,2024-07-21 01:59:22,2024-07-21 11:19:53,100,14.4,530,557,354,116,60,27,463,9,95,45,false
2024-07-20 00:33:42,2024-07-21 01:59:22,UTC+01:00,2024-07-20 00:33:42,2024-07-20 08:47:49,97,13.7,469,489,230,94,145,20,483,0,96,68,false
2024-07-19 00:46:49,2024-07-20 00:33:42,UTC+01:00,2024-07-19 00:46:49,2024-07-19 08:14:19,100,13.7,422,443,181,117,124,21,388,42,95,59,false
2024-07-17 23:50:51,2024-07-19 00:46:49,UTC+01:00,2024-07-18 16:25:59,2024-07-18 18:38:09,23,13.8,116,132,69,16,31,16,497,42,89,,true
2024-07-17 23:50:51,2024-07-19 00:46:49,UTC+01:00,2024-07-17 23:50:51,2024-07-18 07:02:00,83,13.9,412,431,173,102,137,19,496,15,95,66,false
2024-07-17 00:42:56,2024-07-17 23:50:51,UTC+01:00,2024-07-17 00:42:56,2024-07-17 07:43:34,94,13.9,395,420,160,109,126,25,420,61,96,49,false
2024-07-16 00:29:54,2024-07-17 00:42:56,UTC+01:00,2024-07-16 15:03:16,2024-07-16 17:37:05,24,14.4,125,149,85,22,18,24,520,61,84,,true
2024-07-16 00:29:54,2024-07-17 00:42:56,UTC+01:00,2024-07-16 00:29:54,2024-07-16 06:52:01,75,14.4,367,382,122,110,135,15,489,11,96,73,false
2024-07-15 00:45:25,2024-07-16 00:29:54,UTC+01:00,2024-07-15 00:45:25,2024-07-15 08:12:54,96,14.4,435,447,207,114,114,12,454,0,97,63,false
2024-07-13 23:36:38,2024-07-15 00:45:25,UTC+01:00,2024-07-13 23:36:38,2024-07-14 10:23:36,100,14.9,625,646,412,82,131,21,376,11,96,53,false
2024-07-12 23:46:39,2024-07-13 23:36:38,UTC+01:00,2024-07-13 10:07:40,2024-07-13 12:01:36,19,12.8,89,113,47,19,23,24,463,11,88,,true
2024-07-12 23:46:39,2024-07-13 23:36:38,UTC+01:00,2024-07-12 23:46:39,2024-07-13 08:05:34,96,13.8,436,498,239,95,102,62,454,0,90,64,false
2024-07-12 00:35:10,2024-07-12 23:46:39,UTC+01:00,2024-07-12 00:35:10,2024-07-12 09:33:59,100,13.6,517,538,164,157,196,21,496,33,96,61,false
2024-07-11 00:36:32,2024-07-12 00:35:10,UTC+01:00,2024-07-11 00:36:32,2024-07-11 07:59:59,89,13.6,414,441,176,93,145,27,467,66,94,58,false
2024-07-10 00:07:10,2024-07-11 00:36:32,UTC+01:00,2024-07-10 15:45:11,2024-07-10 17:29:59,17,14.2,88,104,41,23,24,16,520,66,96,,true
2024-07-10 00:07:10,2024-07-11 00:36:32,UTC+01:00,2024-07-10 00:07:10,2024-07-10 06:09:35,72,14.2,343,362,173,71,99,19,475,15,94,67,false
2024-07-09 00:44:03,2024-07-10 00:07:10,UTC+01:00,2024-07-09 00:44:03,2024-07-09 08:12:03,95,13.6,421,444,224,82,115,23,445,38,95,54,false
2024-07-07 22:53:28,2024-07-09 00:44:03,UTC+01:00,2024-07-08 16:41:00,2024-07-08 17:59:50,15,13.3,74,78,65,0,9,4,496,38,97,,true
2024-07-07 22:53:28,2024-07-09 00:44:03,UTC+01:00,2024-07-07 22:53:28,2024-07-08 06:47:52,84,14.1,400,474,235,63,102,74,477,0,87,57,false
2024-07-06 22:50:50,2024-07-07 22:53:28,UTC+01:00,2024-07-06 22:50:50,2024-07-07 10:08:05,100,13.7,625,677,358,118,149,52,581,91,92,49,false
2024-07-06 00:33:06,2024-07-06 22:50:50,UTC+01:00,2024-07-06 00:33:06,2024-07-06 06:38:24,66,13.4,350,362,162,71,117,12,534,47,97,68,false
2024-07-05 00:47:31,2024-07-06 00:33:06,UTC+01:00,2024-07-05 00:47:31,2024-07-05 07:15:02,79,13.5,363,382,143,92,128,19,459,0,95,62,false
2024-07-04 00:44:13,2024-07-05 00:47:31,UTC+01:00,2024-07-04 00:44:13,2024-07-04 07:39:59,100,13.5,395,414,206,55,134,19,350,0,95,53,false
2024-07-02 23:50:20,2024-07-04 00:44:13,UTC+01:00,2024-07-03 18:43:14,2024-07-03 20:38:07,23,14.4,102,114,61,15,26,12,453,0,94,,true
2024-07-02 23:50:20,2024-07-04 00:44:13,UTC+01:00,2024-07-02 23:50:20,2024-07-03 10:53:11,100,14.0,612,656,349,114,149,44,454,0,93,61,false
2024-07-02 00:41:33,2024-07-02 23:50:20,UTC+01:00,2024-07-02 00:41:33,2024-07-02 10:12:54,100,13.8,525,570,221,152,152,45,461,0,92,55,false
2024-07-01 00:00:37,2024-07-02 00:41:33,UTC+01:00,2024-07-01 00:00:37,2024-07-01 08:15:17,100,14.5,460,492,286,96,78,32,430,13,95,60,false
2024-06-30 01:40:05,2024-07-01 00:00:37,UTC+01:00,2024-06-30 16:49:28,2024-06-30 18:08:18,14,13.3,66,74,57,9,0,8,475,13,91,,true
2024-06-30 01:40:05,2024-07-01 00:00:37,UTC+01:00,2024-06-30 01:40:05,2024-06-30 08:13:16,95,13.3,367,393,97,84,186,26,388,65,95,50,false
2024-06-29 00:12:33,2024-06-30 01:40:05,UTC+01:00,2024-06-29 18:40:00,2024-06-29 21:03:00,26,13.4,136,143,79,31,26,7,525,65,100,,true
2024-06-29 00:12:33,2024-06-30 01:40:05,UTC+01:00,2024-06-29 00:12:33,2024-06-29 07:30:46,76,14.1,423,438,270,82,71,15,553,58,97,80,false
2024-06-27 23:43:24,2024-06-29 00:12:33,UTC+01:00,2024-06-27 23:43:24,2024-06-28 07:03:12,78,13.4,410,439,195,104,111,29,527,52,94,70,false
2024-06-27 00:24:50,2024-06-27 23:43:24,UTC+01:00,2024-06-27 00:24:50,2024-06-27 07:18:12,79,13.9,396,413,211,86,99,17,502,7,96,70,false
2024-06-26 01:44:13,2024-06-27 00:24:50,UTC+01:00,2024-06-26 01:44:13,2024-06-26 08:39:01,97,13.8,384,412,175,99,110,28,396,4,93,51,false
2024-06-25 00:18:08,2024-06-26 01:44:13,UTC+01:00,2024-06-25 15:53:00,2024-06-25 17:09:55,14,14.0,63,63,63,0,0,0,460,4,100,,true
